time,A,B,C,D
30.62,159,101,134,168
30.71,159,99,130,167
30.79,166,98,123,164
30.88,168,101,126,169
30.97,169,99,123,166
31.05,174,98,126,164
31.14,180,105,133,175
31.23,181,100,128,166
31.32,180,99,128,167
31.40,184,105,133,176
31.49,187,97,124,165
31.58,197,103,131,170
31.66,200,100,125,167
31.75,199,99,132,164
31.84,209,102,132,166
31.93,217,105,141,171
32.01,214,102,131,168
32.10,219,99,134,162
32.19,223,104,138,170
32.28,225,102,129,167
32.36,239,103,130,167
32.45,234,103,130,166
32.54,250,104,131,167
32.62,257,102,131,162
32.71,255,103,131,164
32.80,260,108,136,169
32.89,267,105,133,167
32.97,282,110,140,169
33.06,296,108,141,165
33.15,302,115,142,172
33.23,303,112,142,170
33.32,308,110,139,166
33.41,315,113,141,169
33.50,340,118,148,171
33.58,344,117,149,170
33.67,355,120,150,172
33.76,361,121,150,173
33.85,371,121,147,171
33.93,375,126,153,176
34.02,405,121,150,164
34.11,400,123,142,167
34.19,411,126,145,169
34.28,445,133,154,172
34.37,436,128,148,166
34.46,462,129,147,161
34.54,482,134,144,166
34.63,493,136,154,164
34.72,510,143,148,171
34.80,502,138,146,166
34.89,512,143,158,173
34.98,591,150,155,165
35.07,601,157,154,173
35.15,590,152,158,172
35.24,589,156,165,176
35.33,629,159,158,170
35.42,613,156,158,170
35.50,645,161,158,173
35.59,685,167,158,172
35.68,680,166,159,169
35.76,676,165,153,168
35.85,721,174,163,170
35.94,751,171,158,163
36.03,787,184,159,170
36.11,761,181,172,176
36.20,823,185,168,167
36.29,835,188,165,169
36.38,836,192,166,175
36.46,827,189,164,172
36.55,853,192,163,170
36.64,869,194,166,171
36.72,871,198,175,175
36.81,865,189,177,166
36.90,876,202,178,178
36.99,876,195,174,171
37.07,877,200,177,177
37.16,877,195,176,170
37.25,878,202,185,182
37.33,876,195,173,172
37.42,877,194,172,169
37.51,877,195,172,170
37.60,877,194,172,171
37.68,880,198,178,175
37.77,879,196,180,172
37.86,880,201,184,176
37.95,880,194,182,169
38.03,880,196,186,174
38.12,880,198,192,175
38.21,880,197,202,177
38.29,880,197,201,175
38.38,880,194,203,172
38.47,881,196,202,174
38.56,881,201,203,180
38.64,881,197,201,175
38.73,881,198,209,179
38.82,882,198,209,178
38.90,882,197,207,175
38.99,881,196,208,174
39.08,882,198,206,178
39.17,882,196,205,175
39.25,882,196,212,174
39.34,883,195,212,174
39.43,882,198,212,178
39.52,883,198,209,179
39.60,882,195,207,174
39.69,882,197,210,176
39.78,882,199,215,180
39.86,882,196,215,175
39.95,882,200,216,179
40.04,882,196,215,176
40.13,882,198,213,177
40.21,882,197,214,177
40.30,882,198,219,179
40.39,882,199,222,179
40.47,882,200,217,178
40.56,882,203,218,183
40.65,882,199,215,179
40.74,881,199,222,181
40.82,882,197,220,177
40.91,882,197,215,175
41.00,882,195,218,174
41.09,882,198,223,178
41.17,882,196,222,177
41.26,881,198,228,177
41.35,881,198,229,179
41.43,881,194,228,172
41.52,882,198,225,177
41.61,882,198,225,179
41.70,881,200,227,180
41.78,881,195,232,176
41.87,881,198,229,178
41.96,881,201,230,182
42.04,881,200,227,181
42.13,888,216,241,203
42.22,881,200,238,185
42.31,881,207,246,180
42.39,888,220,263,200
